"CUST_ID","gender","DateOfBirth","State","Contact","Segment"
42333031,"Female","25-Oct-70","WV","972-361-7416","Platinum"
91786228,"Female","26-Dec-63","TN","826-243-9763","Gold"
61051505,"Male","05-Feb-68","OH","649-461-2967","Platinum"
8132649,"Male","23-Sep-75","SD","436-953-6352","Platinum"
49428676,"Female","27-Sep-77","TX","587-946-2153","Silver"
77436411,"Female","06-May-64","TN","679-324-1357","Platinum"
44319192,"Male","07-Nov-68","NC","432-234-3617","Platinum"
57510487,"Male","24-Jan-84","UT","512-657-2135","Gold"
62797342,"Male","01-May-89","MA","348-186-6349","Gold"
56923917,"Female","10-Aug-71","IL","451-134-7825","Silver"
83088652,"Male","05-Oct-98","MD","968-236-9367","Platinum"
53087364,"Female","30-Jul-90","AK","462-412-7423","Platinum"
9089663,"Male","09-Sep-60","MT","763-973-2741","Silver"
83290720,"Male","06-Dec-66","VA","185-825-6547","Gold"
78364565,"Female","07-Aug-61","NM","862-483-5218","Silver"
99761663,"Female","18-Nov-63","NC","643-246-4718","Silver"
6298259,"Female","30-May-69","AZ","712-891-4759","Silver"
51936868,"Male","29-May-88","OR","538-723-7261","Gold"
35907845,"Male","22-Jun-72","IA","384-637-2368","Platinum"
17390816,"Female","03-Sep-87","UT","269-384-1923","Gold"
9908654,"Male","18-Feb-64","AL","179-894-5412","Platinum"
47228798,"Male","18-May-74","HI","364-634-3715","Platinum"
11593991,"Female","22-Dec-65","RI","642-812-6451","Silver"
15036122,"Male","30-Mar-88","IA","893-237-4791","Silver"
59046302,"Male","15-Jan-94","NY","854-356-9378","Silver"
74058124,"Male","12-Nov-90","WV","172-685-2746","Silver"
95221640,"Male","13-Jul-67","MD","712-754-5719","Silver"
5956033,"Female","07-Jul-93","WY","984-397-3427","Silver"
91462331,"Male","02-May-86","SD","163-429-1675","Platinum"
7946799,"Female","10-Mar-76","MT","645-968-6519","Gold"
83884401,"Male","13-Mar-92","ND","947-962-9473","Gold"
36498462,"Female","10-Sep-87","WV","635-136-5671","Silver"
88191021,"Male","11-Jul-86","HI","915-523-3148","Platinum"
88567908,"Female","26-Sep-71","MN","817-685-2347","Gold"
72896975,"Male","26-Feb-70","AL","813-784-4983","Gold"
85650096,"Male","29-Jan-67","MO","954-368-9137","Gold"
51349085,"Male","06-Jun-97","RI","258-762-9482","Silver"
90202451,"Male","04-Jul-89","KY","413-642-7842","Platinum"
55180831,"Male","21-Feb-62","MT","482-319-5783","Gold"
14433043,"Female","13-Jun-71","UT","314-341-6783","Gold"
56590042,"Male","12-Jan-67","AL","254-651-9452","Silver"
43870673,"Male","21-Jun-85","KS","428-238-4918","Gold"
84734050,"Male","21-Apr-60","VA","974-457-9312","Silver"
73246256,"Female","18-Oct-84","IN","146-597-5429","Platinum"
2632562,"Female","14-Dec-85","AK","498-597-9658","Platinum"
74125758,"Male","04-Jan-61","LA","876-786-8624","Gold"
92752865,"Male","30-Jan-86","AK","143-219-5498","Silver"
47086007,"Female","10-Dec-97","NC","347-618-5821","Gold"
33987747,"Male","23-May-73","MO","719-927-1936","Platinum"
37312925,"Male","12-Jan-63","KS","274-346-6391","Gold"
13233814,"Female","01-Jun-62","AR","583-753-8415","Platinum"
32561536,"Male","18-Sep-82","MI","718-215-2831","Platinum"
73456835,"Female","31-Dec-78","CO","376-294-4612","Silver"
84767457,"Female","14-Nov-96","AZ","964-984-9257","Platinum"
31901720,"Male","29-Nov-63","CA","574-674-6381","Silver"
67885239,"Female","17-Sep-66","AL","682-368-5823","Platinum"
94448966,"Female","20-Jun-84","MD","845-768-2513","Gold"
94633091,"Female","14-Jul-90","RI","826-537-1348","Platinum"
90116906,"Male","14-Sep-70","SD","645-465-4938","Platinum"
82832313,"Male","21-Jul-80","NC","679-793-3672","Silver"
87993949,"Male","29-May-69","NJ","754-586-4891","Platinum"
61810954,"Male","18-May-69","TX","724-493-6179","Silver"
55782839,"Female","07-Feb-98","ND","918-849-3279","Gold"
39587790,"Male","10-Jan-65","LA","615-154-3516","Gold"
14293434,"Female","25-Jan-95","IL","269-431-3781","Platinum"
46620413,"Male","11-Dec-91","DE","164-158-7981","Platinum"
53798973,"Female","19-Nov-80","TN","732-893-6125","Silver"
15556454,"Male","01-Sep-96","OK","952-296-8234","Silver"
61497833,"Male","06-Aug-95","WV","179-439-6237","Platinum"
92889077,"Female","08-Mar-63","AR","975-548-7142","Gold"
19171044,"Female","06-Feb-79","WI","281-597-6245","Platinum"
93291407,"Male","08-May-70","FL","945-839-1768","Gold"
96710523,"Male","29-May-80","WY","846-174-8946","Silver"
52542420,"Female","25-Jul-70","CA","371-247-1395","Silver"
37741743,"Female","16-Jul-82","ME","327-256-9257","Gold"
48145469,"Male","22-May-73","IA","946-341-3157","Silver"
25709472,"Male","15-Jan-93","KY","534-697-3498","Gold"
58402401,"Male","13-Jun-79","KS","134-129-8167","Silver"
23092790,"Female","21-Apr-82","NE","362-847-6954","Platinum"
62476442,"Female","27-Jun-85","HI","528-237-8379","Silver"
39943087,"Female","11-Nov-88","NY","473-567-7234","Platinum"
41265642,"Male","29-Sep-89","IA","912-385-7549","Gold"
73383008,"Female","04-Jun-86","AZ","594-592-6745","Gold"
77896466,"Female","16-Feb-97","IL","613-614-1378","Gold"
83526368,"Female","16-Mar-79","MA","468-698-7189","Platinum"
31439710,"Female","11-Mar-88","GA","824-246-5734","Gold"
30227653,"Female","01-Aug-81","CT","945-734-2691","Silver"
86993944,"Male","17-Mar-82","WI","596-612-5431","Silver"
65728108,"Male","22-Nov-84","SC","438-675-4587","Platinum"
45539668,"Male","08-Apr-98","MS","613-276-2471","Silver"
3159546,"Male","20-Oct-87","TX","586-129-9752","Platinum"
88449349,"Male","17-Dec-79","WA","975-547-5196","Platinum"
35937389,"Female","31-Jul-78","AZ","971-841-3152","Silver"
19441247,"Female","10-Jun-74","WV","439-538-7538","Platinum"
7208859,"Female","15-Feb-91","OK","372-267-3189","Gold"
65950591,"Male","25-Jan-69","NH","543-543-2549","Silver"
2327487,"Male","08-Feb-99","AZ","215-589-3761","Platinum"
30722342,"Male","04-Apr-99","OH","316-863-5832","Silver"
31289360,"Male","15-Nov-98","GA","869-486-1267","Gold"
24826170,"Male","05-Mar-87","WA","361-476-4591","Gold"
14860484,"Male","02-Dec-94","OK","864-361-2564","Gold"
39642700,"Female","13-Jun-85","IN","745-342-2471","Silver"
3689105,"Female","23-Mar-99","NE","923-198-9827","Silver"
58850120,"Female","23-Jul-60","UT","819-478-8453","Platinum"
76965994,"Male","28-Mar-60","NY","132-927-9824","Gold"
14490971,"Female","10-Dec-76","MN","614-652-1274","Silver"
88277241,"Male","27-Apr-76","NV","684-482-6745","Platinum"
87386746,"Male","23-Dec-82","ND","741-473-8976","Gold"
55157616,"Female","21-Oct-67","MN","136-736-1978","Gold"
55593844,"Female","02-Mar-65","NC","129-925-2819","Gold"
72556809,"Male","14-Jan-98","ID","582-928-4938","Platinum"
45653187,"Male","22-May-63","AL","836-247-1264","Silver"
48538925,"Female","25-Sep-67","NE","378-563-3695","Gold"
68724425,"Male","06-Oct-61","VA","389-769-2197","Gold"
50817031,"Male","17-Nov-63","MI","728-483-4185","Gold"
16836323,"Male","22-Dec-70","MS","398-364-9741","Gold"
72701589,"Female","23-Aug-94","AR","745-968-1753","Silver"
88126167,"Female","22-Dec-93","IA","691-739-8963","Gold"
50642114,"Female","06-Dec-61","FL","925-298-5137","Gold"
32180678,"Male","24-Feb-85","KS","975-682-7836","Platinum"
74155265,"Male","16-Nov-85","TX","392-739-4873","Gold"
26168099,"Male","27-Oct-95","NC","325-687-3651","Silver"
804961,"Female","07-Dec-97","AL","487-723-4167","Gold"
25823839,"Male","27-Dec-71","ME","678-925-6195","Silver"
61745840,"Female","24-Jul-94","MA","612-684-5472","Platinum"
86024944,"Female","01-Aug-74","AZ","742-298-4693","Silver"
40080423,"Female","13-Sep-69","NY","769-451-9372","Gold"
14275512,"Male","24-Jun-71","MI","362-839-2153","Platinum"
70442756,"Female","16-Jun-63","VA","174-415-5381","Platinum"
36829984,"Female","01-Dec-65","CA","713-967-1935","Platinum"
68772500,"Male","10-Nov-89","TX","562-259-5432","Silver"
154557,"Female","23-May-78","DE","962-879-1238","Platinum"
97640137,"Male","14-Aug-75","SD","812-824-4285","Platinum"
49270602,"Male","10-Apr-60","IL","837-734-6732","Platinum"
25021031,"Female","07-Dec-72","IL","537-548-5913","Platinum"
2590748,"Female","30-Nov-91","MO","185-517-6934","Platinum"
98905793,"Female","11-Nov-93","ID","823-482-5839","Platinum"
39495715,"Male","16-Sep-68","LA","572-615-8539","Gold"
64840478,"Female","14-Feb-74","NM","918-174-7461","Silver"
30541131,"Female","17-Mar-88","CO","857-137-2347","Silver"
51503228,"Male","12-Jul-60","IA","612-258-9783","Silver"
57959733,"Female","31-Dec-67","AR","689-628-5247","Platinum"
82415154,"Female","08-Mar-80","DE","578-942-1542","Platinum"
67861420,"Female","28-Apr-92","UT","645-657-5692","Platinum"
16811546,"Male","09-Jul-76","KS","486-341-4781","Gold"
74840885,"Female","09-May-66","IA","149-458-3751","Platinum"
95719884,"Female","26-Nov-89","CT","759-157-6329","Platinum"
22856223,"Female","07-Aug-63","AR","728-953-8257","Platinum"
26965990,"Female","14-Dec-98","NH","823-634-8723","Platinum"
48447568,"Male","26-Jun-62","CT","294-936-9134","Gold"
16102401,"Male","07-Oct-96","CT","148-543-1362","Silver"
26448215,"Female","10-Mar-83","CT","765-438-8462","Silver"
40922910,"Male","12-Sep-63","IN","246-527-5983","Gold"
43293983,"Female","12-Aug-89","NM","356-724-4721","Gold"
51195864,"Female","24-Nov-71","ND","831-136-3859","Gold"
36395486,"Male","06-Mar-71","ND","365-482-4683","Gold"
32850276,"Male","29-Oct-63","ME","893-673-8192","Platinum"
94041088,"Male","16-Jul-90","NM","815-641-3516","Silver"
90718924,"Male","30-Sep-70","ME","185-286-2134","Silver"
51278451,"Female","23-Apr-82","NJ","597-396-2931","Gold"
16868327,"Male","14-Feb-68","VT","426-293-4958","Silver"
32269248,"Female","27-Jun-71","NE","574-857-9387","Gold"
35410919,"Female","07-May-95","AZ","862-765-3425","Silver"
20716946,"Female","10-Jun-81","KY","526-579-6814","Platinum"
90102508,"Male","25-Jul-85","AZ","794-134-3864","Gold"
40744509,"Male","18-Sep-99","MD","746-571-4539","Gold"
51460517,"Male","25-Dec-69","ND","925-214-7481","Gold"
9677945,"Female","28-May-87","SC","849-461-6419","Platinum"
34297743,"Female","17-Mar-76","WI","726-673-6513","Platinum"
17682060,"Female","21-Nov-74","NV","186-195-3465","Gold"
29750601,"Female","28-Oct-95","RI","652-976-9723","Platinum"
97698815,"Male","06-May-77","OH","352-765-2183","Gold"
28920170,"Male","18-Jul-62","ID","498-547-6829","Silver"
55572419,"Female","31-May-65","CO","728-934-9134","Gold"
77219712,"Female","05-Aug-99","NH","649-592-8793","Platinum"
39286853,"Female","23-Jun-93","ND","829-753-4352","Platinum"
47226965,"Male","27-Jun-95","MN","935-251-3941","Platinum"
68757979,"Female","07-Jun-64","KY","835-238-5426","Platinum"
69956308,"Female","09-Feb-81","AL","934-541-3417","Gold"
47603757,"Female","09-Aug-96","NE","214-247-6582","Platinum"
83534717,"Male","17-May-65","MI","732-632-3689","Silver"
40480522,"Female","30-May-84","NV","739-259-6835","Gold"
86597605,"Female","21-Apr-62","ME","794-584-3826","Gold"
7829022,"Male","12-Aug-80","ND","964-432-2841","Platinum"
77985379,"Female","20-May-84","MD","619-412-8295","Platinum"
2826434,"Female","25-Nov-94","MN","863-274-1853","Platinum"
16548727,"Female","11-Nov-84","ND","475-651-3249","Platinum"
94267140,"Male","07-Oct-67","MO","765-672-8396","Gold"
5637733,"Male","27-May-64","ID","567-617-1874","Platinum"
684748,"Male","03-Aug-77","AK","613-385-2863","Gold"
65047878,"Female","23-Aug-79","SD","593-329-6298","Silver"
84614509,"Male","14-Jan-81","WI","576-536-8742","Silver"
93766634,"Female","20-Sep-70","OH","871-813-4512","Gold"
68712439,"Male","17-Aug-90","WI","397-361-3286","Platinum"
88785895,"Male","24-Apr-77","CO","549-729-2915","Gold"
33924586,"Female","28-Mar-76","MA","187-187-9648","Silver"
1852176,"Male","23-Jun-67","PA","563-749-5436","Platinum"
58107776,"Female","26-Jun-74","HI","794-819-7165","Silver"
30743608,"Male","19-Feb-90","DE","541-523-1263","Gold"
50530333,"Male","22-May-99","WA","152-152-9356","Silver"
29282358,"Female","05-Oct-85","NE","291-953-5768","Gold"
55375167,"Male","30-Mar-69","NE","245-617-1348","Silver"
37692329,"Male","28-May-92","LA","195-175-4275","Platinum"
2753882,"Female","12-Oct-94","CA","739-738-7493","Platinum"
88219691,"Female","27-Oct-94","NJ","298-359-2684","Silver"
67722830,"Male","30-Nov-73","TN","674-654-7168","Platinum"
11321295,"Male","13-Nov-65","DE","429-596-2169","Platinum"
28502965,"Female","11-Sep-66","DE","598-625-9431","Silver"
51782731,"Male","18-Dec-89","PA","728-916-1287","Silver"
76395629,"Male","29-Jan-72","ID","812-836-7854","Silver"
20960664,"Female","28-Oct-87","VT","276-719-1489","Platinum"
79683883,"Male","30-Sep-85","WY","194-892-7628","Gold"
33388786,"Female","13-Apr-82","MO","182-164-7386","Gold"
52361935,"Male","27-Mar-95","MI","925-931-3164","Silver"
97038550,"Female","08-Oct-73","FL","963-613-5369","Platinum"
25911554,"Female","21-Jun-98","IN","321-235-9236","Gold"
43834942,"Female","08-Sep-80","ND","281-286-8362","Gold"
17242900,"Male","27-Mar-82","NM","472-435-3847","Platinum"
54094880,"Male","01-Jun-84","DE","568-481-7418","Silver"
59809467,"Female","03-Dec-87","IN","231-893-6274","Silver"
62204138,"Female","15-Dec-89","DE","471-934-4961","Platinum"
93993324,"Male","23-Feb-64","WI","853-261-1783","Gold"
84995304,"Female","05-May-85","GA","347-765-3861","Silver"
70955654,"Female","23-Aug-92","IL","867-154-5847","Silver"
43274276,"Female","22-Apr-77","OR","829-634-2537","Silver"
23236713,"Male","24-Jan-94","OK","564-237-8963","Silver"
76501371,"Male","14-Feb-76","NY","341-346-8795","Silver"
56554262,"Male","26-Oct-82","ND","142-258-9876","Silver"
48123202,"Female","31-Dec-98","AL","932-672-6327","Gold"
93915431,"Male","08-Sep-67","ME","134-785-1687","Gold"
38560100,"Female","01-Nov-73","IL","586-724-1493","Platinum"
31544049,"Male","04-Jun-71","KS","672-351-1964","Silver"
68615086,"Male","12-Nov-80","VT","326-937-6952","Platinum"
55535045,"Male","11-Aug-94","AR","164-539-3948","Gold"
17988592,"Male","16-Dec-99","NM","472-186-4937","Platinum"
4883962,"Male","20-Jan-72","FL","478-721-9743","Platinum"
33812279,"Male","17-Jul-91","KS","621-297-6317","Platinum"
81854173,"Male","13-Mar-93","CO","743-429-8173","Gold"
24579061,"Female","24-Nov-67","IN","763-365-2837","Platinum"
29478976,"Male","06-Oct-83","MO","964-768-7924","Gold"
10462042,"Female","06-Jun-64","WA","351-316-3172","Platinum"
52265112,"Female","21-Aug-87","MA","251-361-5218","Gold"
53900680,"Male","06-Mar-99","MA","591-168-3457","Silver"
69784779,"Female","20-Aug-90","IA","521-358-6847","Platinum"
26810768,"Female","02-Jul-87","WA","387-791-4125","Platinum"
82637319,"Male","17-Mar-99","KY","647-375-9124","Platinum"
69546065,"Male","12-Jun-94","PA","641-659-5972","Platinum"
67427492,"Female","01-Nov-92","MN","693-794-2741","Silver"
18213216,"Male","06-Oct-69","KY","416-461-9145","Silver"
98204394,"Male","06-Dec-68","VA","685-823-5284","Silver"
63413368,"Male","01-Sep-66","VA","958-159-2173","Silver"
91136854,"Female","07-Apr-98","WI","943-194-1759","Silver"
11187680,"Female","11-Oct-74","CO","841-732-5392","Silver"
88205075,"Male","03-Jun-73","VA","631-658-1329","Platinum"
40728123,"Male","03-Jul-77","UT","298-863-2514","Platinum"
65176092,"Male","23-Nov-75","NC","651-379-2486","Silver"
84229777,"Female","18-Mar-76","TN","728-184-5376","Platinum"
76093960,"Female","23-Jun-84","OK","867-923-3798","Silver"
36994344,"Male","16-Dec-75","ME","673-618-4586","Silver"
68043300,"Male","03-Jun-93","MN","687-879-7692","Platinum"
28901669,"Female","28-May-81","MT","798-435-4862","Silver"
86916099,"Female","15-Mar-69","ME","386-156-9384","Gold"
29826894,"Female","06-Jan-91","AZ","124-198-8153","Silver"
79637467,"Male","27-Mar-71","IA","736-694-8274","Gold"
36632227,"Female","09-Jun-60","GA","369-589-9865","Silver"
77510822,"Female","18-Mar-86","AK","436-934-7156","Silver"
2651069,"Male","09-Mar-99","AL","681-981-1478","Gold"
8150738,"Female","06-Dec-87","NH","842-127-7916","Platinum"
67268108,"Male","18-Oct-73","FL","159-192-1758","Platinum"
53907868,"Male","07-Feb-78","WA","768-578-9871","Platinum"
86246733,"Male","17-Jul-82","MN","248-471-2985","Gold"
45568489,"Female","03-Nov-67","OH","826-463-4186","Silver"
28032985,"Female","10-Dec-64","NM","926-817-6247","Gold"
33210182,"Male","09-Nov-89","CA","387-759-2586","Platinum"
24731784,"Female","17-Oct-80","DE","169-631-1283","Silver"
36126424,"Female","11-Feb-81","ME","398-768-5283","Platinum"
95452498,"Female","21-Feb-88","MI","391-537-8235","Silver"
22756942,"Male","09-Oct-82","FL","462-823-3126","Silver"
62489316,"Female","15-Aug-93","GA","985-185-1659","Gold"
4825461,"Female","27-Apr-65","NE","791-473-9763","Platinum"
63915259,"Male","22-May-86","GA","829-157-6239","Gold"
6723724,"Female","20-Apr-89","AL","592-368-3149","Platinum"
51719336,"Female","06-Jul-66","AK","149-149-3164","Platinum"
89808931,"Female","22-Jul-89","WA","524-613-4786","Silver"
55105629,"Male","06-Feb-81","TN","516-198-5127","Silver"
79076502,"Female","30-Dec-77","NJ","259-527-3218","Silver"
81131066,"Male","01-Nov-68","AL","579-265-6183","Gold"
75995055,"Female","14-Dec-95","OK","845-854-5473","Gold"
24425429,"Female","09-Jun-87","NC","894-913-8453","Gold"
51382348,"Male","28-Dec-70","MT","594-728-3497","Silver"
18842829,"Male","10-Sep-69","ME","561-158-4657","Platinum"
98180346,"Male","16-Feb-92","NV","685-872-4789","Platinum"
53013094,"Male","07-Jun-76","PA","192-576-9158","Silver"
25263633,"Male","04-Dec-66","ND","536-497-6752","Silver"
16444738,"Female","18-Feb-90","TN","298-376-5293","Platinum"
64231993,"Male","15-Jul-82","CO","617-896-5736","Gold"
89530919,"Male","20-Sep-73","IL","938-684-9572","Gold"
38011078,"Female","20-May-76","NE","271-123-1475","Gold"
76314493,"Female","02-Oct-61","DE","389-764-4853","Silver"
51975640,"Female","10-May-82","NC","139-648-8714","Silver"
47593642,"Male","20-Jun-70","HI","596-684-9786","Gold"
42439009,"Female","17-Sep-76","NV","591-218-5973","Gold"
51613894,"Male","02-Jan-88","MO","675-213-7462","Silver"
49078798,"Male","07-May-65","VT","168-931-2841","Gold"
17822772,"Male","07-May-89","OK","428-196-6913","Platinum"
94643289,"Male","24-Apr-98","AK","317-612-1425","Silver"
47535244,"Female","16-Sep-61","TN","413-134-6842","Gold"
70770204,"Female","17-Jan-84","CT","935-274-6725","Silver"
92171044,"Male","24-Jul-64","WI","156-514-3516","Gold"
98218159,"Female","02-Sep-76","PA","563-417-5261","Platinum"
24112592,"Male","11-Jun-80","NV","916-185-5697","Platinum"
97053819,"Female","06-May-97","NC","243-295-1862","Gold"
88484857,"Male","21-May-60","UT","189-845-2459","Silver"
89965541,"Male","19-Jun-67","MT","359-678-4658","Silver"
96431710,"Female","20-Jul-82","NM","349-214-6872","Gold"
13059025,"Female","28-Aug-99","RI","624-716-1427","Platinum"
49481916,"Female","28-Mar-96","SC","734-137-4865","Silver"
10956208,"Male","21-Dec-84","AZ","194-786-8173","Gold"
43059280,"Male","16-Dec-94","RI","651-127-8152","Platinum"
92971195,"Male","02-Feb-75","DE","892-173-4657","Gold"
97578924,"Male","22-Nov-78","CO","654-176-5324","Platinum"
81790039,"Female","22-Jun-95","HI","612-374-9851","Gold"
36812323,"Male","24-Jan-60","ND","237-257-3415","Silver"
63544225,"Female","30-Mar-99","CO","934-658-2318","Platinum"
4669941,"Male","03-Aug-82","AK","761-462-3458","Platinum"
64395359,"Female","08-Sep-94","CA","968-896-9268","Silver"
25634799,"Female","04-Nov-74","KS","724-781-3692","Platinum"
31654316,"Female","12-Jul-81","IN","683-351-1463","Gold"
49499709,"Male","05-Oct-77","KS","827-152-3125","Silver"
45415342,"Female","12-Mar-96","DE","915-398-4596","Platinum"
72734097,"Male","16-Mar-60","MA","392-741-5178","Gold"
94707309,"Female","04-Jun-88","MA","835-123-6381","Gold"
84750181,"Female","16-May-93","AK","419-431-6251","Platinum"
58380749,"Female","12-Aug-73","SC","672-491-4529","Silver"
42345842,"Female","21-Jan-75","NH","795-476-5347","Gold"
54103924,"Male","08-Mar-85","NJ","794-849-1953","Gold"
48099288,"Female","24-Feb-87","HI","918-942-6527","Gold"
57896241,"Male","11-Sep-96","VT","678-356-9671","Silver"
70730377,"Female","28-Jan-78","CO","835-781-6495","Gold"
6125426,"Female","23-Apr-98","NE","317-978-1285","Silver"
48227009,"Male","22-Jan-90","VA","593-164-6714","Gold"
86308184,"Female","25-May-90","WV","613-849-3215","Platinum"
69065193,"Female","26-Sep-80","MT","963-496-4127","Silver"
79846638,"Female","17-Sep-69","MO","248-215-1346","Platinum"
38047917,"Male","18-Aug-85","VT","972-254-1352","Gold"
73611258,"Male","08-Mar-95","WV","246-752-9853","Gold"
14696479,"Female","07-Jul-91","IA","678-719-8217","Silver"
25166037,"Male","28-Oct-99","AL","537-268-6189","Gold"
1123356,"Female","29-Jul-60","OR","736-725-9481","Silver"
97162684,"Male","19-May-94","WV","874-957-9764","Silver"
95055469,"Female","23-Jun-64","MS","632-725-7146","Platinum"
56985179,"Male","14-May-74","MN","894-163-7685","Platinum"
69039320,"Female","16-Sep-75","NH","216-854-4563","Platinum"
84514444,"Female","26-Jun-82","NV","712-156-7298","Platinum"
79953263,"Male","14-Jan-67","ID","685-954-6532","Platinum"
15557396,"Male","03-Nov-75","AR","915-247-7815","Gold"
95002919,"Male","15-Apr-64","TN","128-196-6753","Platinum"
7612094,"Male","26-Aug-83","UT","145-734-4176","Gold"
53260501,"Female","24-May-98","OK","624-125-7382","Silver"
92072156,"Female","28-Jul-71","DE","186-419-2974","Silver"
77570823,"Female","20-Dec-63","AL","846-573-6251","Platinum"
69010101,"Female","23-Oct-71","AR","825-591-5293","Platinum"
1223055,"Male","02-Jun-95","CA","726-984-2871","Platinum"
9884792,"Male","23-Dec-74","GA","764-745-3951","Silver"
1144598,"Female","27-Apr-80","WY","571-397-1798","Platinum"
59716520,"Male","05-Aug-86","CT","348-546-2769","Silver"
59056552,"Female","10-Apr-93","NC","864-129-4829","Gold"
25164999,"Female","25-Oct-93","MD","261-583-6387","Silver"
70761779,"Female","12-Jul-92","AL","932-146-8539","Silver"
62934102,"Female","25-Jul-97","OR","518-352-6498","Silver"
11472207,"Male","19-Apr-61","TN","217-817-4251","Gold"
97856694,"Female","14-Nov-91","TN","639-694-8245","Gold"
86818440,"Male","28-Dec-83","WA","397-129-9435","Platinum"
66433138,"Male","27-Jun-78","TX","752-617-3867","Gold"
87806611,"Female","11-Oct-78","MD","276-785-5134","Silver"
36252121,"Female","29-Apr-85","IN","127-359-1385","Gold"
19916012,"Female","22-Jan-64","KS","417-426-7961","Silver"
79440308,"Female","11-Mar-97","AR","623-328-4615","Gold"
23116437,"Female","06-Jun-65","KY","625-325-1724","Silver"
58957713,"Female","22-Jun-62","MO","146-714-8675","Gold"
4798021,"Male","16-Jan-60","FL","516-315-9143","Platinum"
83441797,"Male","01-Dec-97","IL","489-528-1573","Silver"
30154531,"Male","16-Nov-74","MA","482-654-2465","Platinum"
38117638,"Female","04-Jun-92","MA","175-527-2541","Silver"
12112711,"Female","15-May-97","CA","795-234-3741","Platinum"
4652602,"Female","03-Oct-78","PA","128-371-7892","Gold"
45187280,"Female","04-Apr-96","ND","325-842-5629","Gold"
77930023,"Male","27-Sep-82","GA","967-682-2918","Silver"
58934617,"Male","01-Apr-90","CA","157-896-3619","Platinum"
41182960,"Male","31-May-70","CA","865-345-1634","Gold"
64488618,"Male","28-Feb-74","RI","967-894-1953","Silver"
59793026,"Male","09-Dec-66","ME","231-719-3629","Gold"
86621072,"Female","17-Sep-67","AR","194-254-6572","Platinum"
47250458,"Female","26-Aug-88","VT","157-132-6489","Platinum"
